timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1577991600.0,2020-01-02 07-PM,BTCUSD,7005.9,7019.8,6991.9,7013.96,154.24,1080486.6
1577988000.0,2020-01-02 06-PM,BTCUSD,7002.4,7010,6980.1,7005.9,98.54,689488.53
1577984400.0,2020-01-02 05-PM,BTCUSD,7071.1,7071.1,6963,7002.4,1578.99,11056171.44
1577980800.0,2020-01-02 04-PM,BTCUSD,7149.1,7161.7,7051.6,7071.1,498.99,3534674.6
1577977200.0,2020-01-02 03-PM,BTCUSD,7157.1,7173.1,7142.9,7149.1,423.84,3038252.22
1577973600.0,2020-01-02 02-PM,BTCUSD,7154.4,7168.7,7141,7157.1,66.84,478537.78
1577970000.0,2020-01-02 01-PM,BTCUSD,7171.58,7178.21,7126.08,7154.4,106.86,763174.82
1577966400.0,2020-01-02 12-PM,BTCUSD,7161,7180.5,7161,7171.58,32.94,236210.91
1577962800.0,2020-01-02 11-AM,BTCUSD,7181.5,7184,7161,7161,36.24,259969.11
1577959200.0,2020-01-02 10-AM,BTCUSD,7178.5,7196.1,7178.4,7181.5,60.85,437130.72
1577955600.0,2020-01-02 09-AM,BTCUSD,7165.02,7178.5,7158.3,7178.5,119.91,859368.25
1577952000.0,2020-01-02 08-AM,BTCUSD,7126,7165.4,7126,7165.02,54.33,388624.0
1577948400.0,2020-01-02 07-AM,BTCUSD,7148.8,7155.89,7100,7126,287.85,2050781.38
1577944800.0,2020-01-02 06-AM,BTCUSD,7149.3,7156,7143,7148.8,207.51,1483700.9
1577941200.0,2020-01-02 05-AM,BTCUSD,7153.5,7158.48,7144.5,7149.3,29.45,210649.62
1577937600.0,2020-01-02 04-AM,BTCUSD,7133.1,7164,7131,7153.5,81.28,580795.63
1577934000.0,2020-01-02 03-AM,BTCUSD,7179.4,7179.4,7132,7133.1,398.76,2853816.46
1577930400.0,2020-01-02 02-AM,BTCUSD,7202.84,7202.84,7175.1,7179.4,96.16,690405.62
1577926800.0,2020-01-02 01-AM,BTCUSD,7225,7225.2,7200.22,7202.84,51.41,370935.16
1577923200.0,2020-01-02 12-AM,BTCUSD,7212.7,7225.8,7202.1,7225,35.63,257055.98
1577919600.0,2020-01-01 11-PM,BTCUSD,7216.1,7216.1,7198.67,7212.7,91.36,658491.3
1577916000.0,2020-01-01 10-PM,BTCUSD,7258.05,7259,7210,7216.1,189.32,1370661.05
1577912400.0,2020-01-01 09-PM,BTCUSD,7254,7261.9,7250.3,7258.05,134.8,978040.91
1577908800.0,2020-01-01 08-PM,BTCUSD,7250.4,7254.9,7245,7254,53.22,385849.9
1577905200.0,2020-01-01 07-PM,BTCUSD,7260.8,7260.8,7245.9,7250.4,44.01,319103.82
1577901600.0,2020-01-01 06-PM,BTCUSD,7261.9,7264.1,7254.15,7260.8,61.14,443780.19
1577898000.0,2020-01-01 05-PM,BTCUSD,7251,7269.6,7245.1,7261.9,115.24,836572.73
1577894400.0,2020-01-01 04-PM,BTCUSD,7249.9,7251,7239.2,7251,67.53,489239.96
1577890800.0,2020-01-01 03-PM,BTCUSD,7235.8,7285.1,7235.8,7249.9,301.13,2189560.74
1577887200.0,2020-01-01 02-PM,BTCUSD,7234.4,7244.2,7226.6,7235.8,52.12,377261.23
1577883600.0,2020-01-01 01-PM,BTCUSD,7233.7,7241.1,7230,7234.4,77.22,558773.33
1577880000.0,2020-01-01 12-PM,BTCUSD,7208.1,7234.95,7208.1,7233.7,84.41,609735.76
1577876400.0,2020-01-01 11-AM,BTCUSD,7215.4,7246.6,7208.1,7208.1,56.53,408668.61
1577872800.0,2020-01-01 10-AM,BTCUSD,7203.3,7217,7201.2,7215.4,44.18,318329.62
1577869200.0,2020-01-01 09-AM,BTCUSD,7207.24,7218.86,7202.5,7203.3,40.28,290391.96
1577865600.0,2020-01-01 08-AM,BTCUSD,7219.64,7219.7,7194.31,7207.24,48.56,349804.54
1577862000.0,2020-01-01 07-AM,BTCUSD,7234.5,7237.7,7215.26,7219.64,24.95,180340.58
1577858400.0,2020-01-01 06-AM,BTCUSD,7236.5,7242.08,7231.8,7234.5,269.21,1947580.66
1577854800.0,2020-01-01 05-AM,BTCUSD,7226.1,7236.6,7225.7,7236.5,28.37,205224.37
1577851200.0,2020-01-01 04-AM,BTCUSD,7237.3,7241.3,7226.1,7226.1,51.99,376005.93
1577847600.0,2020-01-01 03-AM,BTCUSD,7256.7,7256.7,7233.1,7237.3,32.08,232310.66
1577844000.0,2020-01-01 02-AM,BTCUSD,7227.8,7256.7,7227.8,7256.7,34.66,251133.24
1577840400.0,2020-01-01 01-AM,BTCUSD,7189.81,7250,7187.4,7227.8,61.75,446380.04
1577836800.0,2020-01-01 12-AM,BTCUSD,7208.3,7208.3,7185.4,7189.81,106.25,764456.17
1577833200.0,2019-12-31 11-PM,BTCUSD,7217,7217,7199,7208.3,151.68,1092539.24
1577829600.0,2019-12-31 10-PM,BTCUSD,7197.4,7227.3,7193.6,7217,184.86,1333111.29
1577826000.0,2019-12-31 09-PM,BTCUSD,7180.6,7199.39,7180.6,7197.4,90.77,653015.01
1577822400.0,2019-12-31 08-PM,BTCUSD,7184.79,7193.6,7177.1,7180.6,39.29,282179.34
1577818800.0,2019-12-31 07-PM,BTCUSD,7173.9,7192.5,7166.8,7184.79,171.61,1233250.99
1577815200.0,2019-12-31 06-PM,BTCUSD,7174,7181.6,7161.3,7173.9,132.55,950202.34
1577811600.0,2019-12-31 05-PM,BTCUSD,7223.3,7223.3,7171,7174,207.34,1490884.52
1577808000.0,2019-12-31 04-PM,BTCUSD,7205,7232.8,7200.1,7223.3,62.38,450367.87
1577804400.0,2019-12-31 03-PM,BTCUSD,7250.34,7266.7,7203.9,7205,299.54,2163382.58
1577800800.0,2019-12-31 02-PM,BTCUSD,7258.7,7333,7250.3,7250.34,309.33,2257377.01
1577797200.0,2019-12-31 01-PM,BTCUSD,7260.8,7273.8,7251.2,7258.7,187.65,1362115.37
1577793600.0,2019-12-31 12-PM,BTCUSD,7263.9,7264,7242.1,7260.8,45.48,329968.17
1577790000.0,2019-12-31 11-AM,BTCUSD,7255.8,7271.3,7255.8,7263.9,41.52,301662.1
1577786400.0,2019-12-31 10-AM,BTCUSD,7249.7,7267.24,7245,7255.8,30.67,222500.91
1577782800.0,2019-12-31 09-AM,BTCUSD,7250,7259.9,7240.5,7249.7,144.12,1045512.24
1577779200.0,2019-12-31 08-AM,BTCUSD,7268.6,7269.33,7248.46,7250,37.08,269023.67
